depth_mm,MC_dose_raw,MC_PDD_norm,microDiamond_dose_raw,microDiamond_PDD_norm,microDiamond_dev_%,PinPoint_dose_raw,PinPoint_PDD_norm,PinPoint_dev_%,Semiflex_dose_raw,Semiflex_PDD_norm,Semiflex_dev_%
0,20.865,22.0642,2.2704,45.53,106.3526,1.356,38.2403,73.3137,0.3117,41.9324,90.0471
1,35.806,37.8639,2.2788,45.6985,20.6914,1.4295,40.313,6.4682,0.3291,44.2772,16.9377
2,52.153,55.1504,2.6736,53.6157,-2.7828,1.608,45.3469,-17.776,0.3584,48.2175,-12.5709
3,64.663,68.3794,3.3516,67.2121,-1.7071,1.9755,55.7107,-18.5272,0.4058,54.5968,-20.1561
4,73.87,78.1156,3.8202,76.6093,-1.9283,2.4285,68.4856,-12.3278,0.4888,65.7599,-15.8171
5,80.136,84.7417,4.1232,82.6856,-2.4263,2.7705,78.1303,-7.8019,0.5641,75.8912,-10.444
6,84.633,89.4972,4.4214,88.6656,-0.9291,3.006,84.7716,-5.2802,0.6171,83.0199,-7.2374
7,87.639,92.6759,4.608,92.4077,-0.2895,3.1725,89.467,-3.4625,0.6576,88.4615,-4.5475
8,90.217,95.4021,4.7424,95.1029,-0.3136,3.261,91.9628,-3.6051,0.6868,92.4005,-3.1462
9,92.796,98.1293,4.8462,97.1845,-0.9629,3.3735,95.1354,-3.051,0.7057,94.9337,-3.2566
10,92.093,97.3859,4.896,98.1831,0.8186,3.444,97.1235,-0.2694,0.7217,97.0915,-0.3023
11,93.244,98.6031,4.9392,99.0495,0.4527,3.4905,98.4349,-0.1706,0.7315,98.4045,-0.2014
12,94.523,99.9556,4.9716,99.6992,-0.2565,3.5115,99.0271,-0.9289,0.7378,99.2493,-0.7066
13,94.118,99.5273,4.9662,99.5909,0.0639,3.54,99.8308,0.3049,0.7406,99.6247,0.0978
14,94.565,100.0,4.9848,99.9639,-0.0361,3.546,100.0,0.0,0.7426,99.9058,-0.0942
15,94.182,99.595,4.9866,100.0,0.4067,3.5415,99.8731,0.2792,0.7433,100.0,0.4067
16,93.478,98.8505,4.968,99.627,0.7855,3.525,99.4078,0.5637,0.7412,99.7188,0.8784
17,93.436,98.8061,4.9326,98.9171,0.1123,3.5385,99.7885,0.9943,0.7398,99.5305,0.7331
18,92.732,98.0617,4.9158,98.5802,0.5288,3.516,99.154,1.1139,0.7385,99.3435,1.3072
19,91.496,96.7546,4.8936,98.135,1.4267,3.5115,99.0271,2.3487,0.735,98.874,2.1905
20,91.709,96.9799,4.8594,97.4492,0.4839,3.4875,98.3503,1.4131,0.7322,98.4987,1.5661
21,91.454,96.7102,4.8372,97.004,0.3038,3.462,97.6311,0.9523,0.7266,97.748,1.0731
22,90.878,96.1011,4.8138,96.5347,0.4512,3.45,97.2927,1.24,0.7245,97.4668,1.4212
23,90.601,95.8082,4.7892,96.0414,0.2434,3.4275,96.6582,0.8872,0.7189,96.7162,0.9477
24,89.173,94.2981,4.7484,95.2232,0.981,3.411,96.1929,2.0094,0.7154,96.2467,2.0664
25,88.427,93.5092,4.7166,94.5855,1.151,3.39,95.6007,2.2366,0.7113,95.6843,2.3261
26,89.109,94.2304,4.6962,94.1764,-0.0573,3.3795,95.3046,1.1399,0.7078,95.2148,1.0447
27,89.237,94.3658,4.6746,93.7432,-0.6597,3.345,94.3316,-0.0362,0.7029,94.5583,0.2041
28,88.086,93.1486,4.6224,92.6964,-0.4855,3.3285,93.8663,0.7705,0.6987,93.996,0.9097
29,86.999,91.9992,4.6224,92.6964,0.7579,3.3045,93.1895,1.2939,0.6945,93.4337,1.5593
30,86.807,91.7961,4.5768,91.782,-0.0154,3.2745,92.3435,0.5963,0.6896,92.7758,1.0673
31,85.997,90.9396,4.5444,91.1322,0.2119,3.2565,91.8359,0.9856,0.6855,92.2135,1.4009
32,85.529,90.4447,4.5408,91.06,0.6804,3.258,91.8782,1.585,0.6806,91.557,1.2299
33,85.55,90.4669,4.5024,90.29,-0.1955,3.228,91.0321,0.6248,0.6771,91.0875,0.6861
34,84.079,88.9113,4.4646,89.5319,0.698,3.2115,90.5668,1.862,0.6743,90.7122,2.0255
35,84.825,89.7002,4.4424,89.0868,-0.6839,3.1845,89.8054,0.1173,0.668,89.8687,0.1878
36,83.696,88.5063,4.4142,88.5212,0.0169,3.1695,89.3824,0.9899,0.6652,89.4934,1.1152
37,83.44,88.2356,4.386,87.9557,-0.3172,3.1515,88.8748,0.7244,0.6604,88.8369,0.6814
38,81.586,86.275,4.3446,87.1255,0.9857,3.1155,87.8596,1.8366,0.6576,88.4615,2.5343
39,81.863,86.568,4.3314,86.8608,0.3383,3.105,87.5635,1.1499,0.6527,87.805,1.429
40,82.374,87.1083,4.2936,86.1028,-1.1544,3.0885,87.0981,-0.0117,0.6485,87.2414,0.1527
41,81.543,86.2296,4.2516,85.2605,-1.1238,3.072,86.6328,0.4676,0.645,86.7732,0.6305
42,80.243,84.8549,4.245,85.1281,0.3221,3.0435,85.8291,1.1481,0.6401,86.1154,1.4855
